# TCVN 6056 to Unicode mappings from the Unihan database from Unicode 3.0. The character
#   encoding described is incompatible with the one described by Unihan databases from
#   Unicode 3.1.1 or newer; presumably the newer data is the correct data, which would
#   make this one instead a re-arrangement of TCVN 6056.
#
0x2121	U+4E00
0x2273	U+5074
0x2274	U+5075
0x2275	U+5076
0x2276	U+507D
0x2277	U+5085
0x2278	U+508C
0x2279	U+508D
0x227A	U+5091
0x227B	U+5098
0x227C	U+5099
0x227D	U+50AC
0x227E	U+50B1
0x2321	U+50B2
0x2322	U+50B3
0x2323	U+50B5
0x2324	U+50B7
0x2325	U+50BE
0x2326	U+50C2
0x2327	U+50C4
0x2328	U+50CF
0x2329	U+50D1
0x232A	U+50D5
0x232B	U+50DA
0x232C	U+50E5
0x232D	U+50E7
0x232E	U+50ED
0x232F	U+50EE
0x2330	U+50F9
0x2331	U+5102
0x2332	U+5104
0x2333	U+5108
0x2334	U+5109
0x2335	U+5112
0x2336	U+5133
0x2337	U+513C
0x2338	U+5140
0x2339	U+5143
0x233A	U+5144
0x233B	U+5145
0x233C	U+5146
0x233D	U+5147
0x233E	U+5148
0x233F	U+5149
0x2340	U+514B
0x2341	U+514D
0x2342	U+5151
0x2343	U+5154
0x2344	U+515C
0x2345	U+5162
0x2346	U+5165
0x2347	U+5168
0x2348	U+5169
0x2349	U+516B
0x234A	U+516C
0x234B	U+516D
0x234C	U+516E
0x234D	U+5171
0x234E	U+5175
0x234F	U+5176
0x2350	U+5177
0x2351	U+5178
0x2352	U+517C
0x2353	U+5185
0x2354	U+5189
0x2355	U+518A
0x2356	U+518D
0x2357	U+5192
0x2358	U+5195
0x2359	U+5197
0x235A	U+5198
0x235B	U+51A0
0x235C	U+51A1
0x235D	U+51A4
0x235E	U+51A5
0x235F	U+51AC
0x2360	U+51B0
0x2361	U+51B5
0x2362	U+51B6
0x2363	U+51B7
0x2364	U+51BD
0x2365	U+51C6
0x2366	U+51CC
0x2367	U+51CD
0x2368	U+51DB
0x2369	U+51DD
0x236A	U+51E0
0x236B	U+51E1
0x236C	U+51ED
0x236D	U+51F1
0x236E	U+51F6
0x236F	U+51FA
0x2370	U+51FD
0x2371	U+5200
0x2372	U+5201
0x2373	U+5203
0x2374	U+5206
0x2375	U+5207
0x2376	U+520A
0x2377	U+520C
0x2378	U+520E
0x2379	U+5211
0x237A	U+5217
0x237B	U+521D
0x237C	U+5220
0x237D	U+5224
0x237E	U+5225
0x2421	U+5227
0x2422	U+5228
0x2423	U+5229
0x2424	U+5230
0x2425	U+5236
0x2426	U+5237
0x2427	U+523A
0x2428	U+523B
0x2429	U+5247
0x242A	U+524A
0x242B	U+524D
0x242D	U+525D
0x242E	U+5267
0x242F	U+526A
0x2430	U+526F
0x2431	U+5272
0x2432	U+5275
0x2433	U+5277
0x2434	U+527F
0x2435	U+5282
0x2436	U+5283
0x2437	U+5284
0x2438	U+5287
0x2439	U+528D
0x243A	U+5291
0x243B	U+5295
0x243C	U+529B
0x243D	U+529F
0x243E	U+52A0
0x243F	U+52A9
0x2440	U+52AC
0x2441	U+52B9
0x2442	U+52BE
0x2443	U+52C1
0x2444	U+52C3
0x2445	U+52C6
0x2446	U+52C7
0x2447	U+52C9
0x2448	U+52D1
0x2449	U+52D2
0x244A	U+52D5
0x244B	U+52D6
0x244C	U+52D8
0x244D	U+52D9
0x244E	U+52DB
0x244F	U+52DD
0x2450	U+52DE
0x2451	U+52E2
0x2452	U+52E4
0x2453	U+52E6
0x2454	U+52F5
0x2455	U+52F8
0x2456	U+52FA
0x2457	U+52FF
0x2458	U+5305
0x2459	U+5308
0x245A	U+530D
0x245B	U+530F
0x245C	U+5310
0x245D	U+5316
0x245E	U+531D
0x245F	U+5321
0x2460	U+5323
0x2461	U+532A
