# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x4E5E	U+543E
0x4E5F	U+543F
0x4E60	U+5442
0x4E61	U+5443
0x4E62	U+5446
0x4E63	U+5448
0x4E64	U+544C
0x4E65	U+544E
0x4E66	U+545E
0x4E67	U+5460
0x4E68	U+5461
0x4E69	U+5462
0x4E6A	U+5468
0x4E6B	U+546B
0x4E6C	U+5471
0x4E6D	U+5473
0x4E6E	U+5475
0x4E6F	U+5476
0x4E70	U+5478
0x4E71	U+547C
0x4E72	U+547D
0x4E73	U+5480
0x4E74	U+5482
0x4E75	U+5484
0x4E76	U+5486
0x4E77	U+5488
0x4E78	U+548B
0x4E79	U+548C
0x4E7A	U+548F
0x4E7B	U+5490
0x4E7C	U+5492
0x4E7D	U+549A
0x4E7E	U+54A2
0x4F21	U+54A7
0x4F22	U+54AC
0x4F23	U+54AE
0x4F24	U+54AF
0x4F25	U+54B7
0x4F26	U+54BB
0x4F27	U+54BC
0x4F28	U+54BD
0x4F29	U+54C0
0x4F2A	U+54C1
0x4F2B	U+54C3
0x4F2C	U+54C4
0x4F2D	U+54C6
0x4F2E	U+54C7
0x4F2F	U+54C8
0x4F30	U+54C9
0x4F31	U+54CD
0x4F32	U+54E1
0x4F33	U+54E2
0x4F34	U+54E5
0x4F35	U+54E6
0x4F36	U+54EA
0x4F37	U+54ED
0x4F38	U+54EE
0x4F39	U+54F2
0x4F3A	U+54FD
0x4F3B	U+54FF
0x4F3C	U+5507
0x4F3D	U+5508
0x4F3E	U+550E
0x4F3F	U+5510
0x4F40	U+5511
0x4F41	U+5529
0x4F42	U+552F
0x4F43	U+5531
0x4F44	U+553C
0x4F45	U+553E
0x4F46	U+5544
0x4F47	U+5546
0x4F48	U+554C
0x4F49	U+5550
0x4F4A	U+5552
0x4F4B	U+555B
0x4F4C	U+555C
0x4F4D	U+5563
0x4F4E	U+5568
0x4F4F	U+5569
0x4F50	U+5577
0x4F51	U+557A
0x4F52	U+557F
0x4F53	U+5581
0x4F54	U+5583
0x4F55	U+5584
0x4F56	U+5587
0x4F57	U+5589
0x4F58	U+558B
0x4F59	U+558D
0x4F5A	U+558E
0x4F5B	U+5594
0x4F5C	U+5598
0x4F5D	U+559A
0x4F5E	U+559C
0x4F5F	U+559D
0x4F60	U+559F
0x4F61	U+55A1
0x4F62	U+55A6
0x4F63	U+55A7
0x4F64	U+55AA
0x4F65	U+55AE
0x4F66	U+55BB
0x4F67	U+55C9
0x4F68	U+55CE
0x4F69	U+55D4
0x4F6A	U+55D9
0x4F6B	U+55DA
0x4F6C	U+55DB
0x4F6D	U+55E2
0x4F6E	U+55E3
0x4F6F	U+5606
0x4F70	U+5608
0x4F71	U+560D
0x4F72	U+562B
0x4F73	U+562C
0x4F74	U+562E
0x4F75	U+5632
0x4F76	U+5636
0x4F77	U+563A
0x4F78	U+563B
0x4F79	U+564E
0x4F7A	U+5654
0x4F7B	U+5659
0x4F7C	U+565E
0x4F7D	U+5664
0x4F7E	U+5666
0x5021	U+5668
0x5022	U+566A
0x5023	U+566C
0x5024	U+566F
0x5025	U+5674
0x5026	U+5676
0x5027	U+5682
0x5028	U+5684
0x5029	U+5685
0x502A	U+568B
0x502B	U+568E
0x502C	U+5693
0x502D	U+569B
0x502E	U+569C
0x502F	U+56A6
0x5030	U+56A7
0x5031	U+56A8
0x5032	U+56AF
0x5033	U+56B4
0x5034	U+56B6
0x5035	U+56C2
0x5036	U+56C9
0x5037	U+56D1
0x5038	U+56D2
0x5039	U+56D5
0x503A	U+56DA
0x503B	U+56DB
0x503C	U+56DE
0x503D	U+56E0
0x503E	U+56ED
0x503F	U+56F0
0x5040	U+56F1
0x5041	U+56F7
0x5042	U+56FA
0x5043	U+56FB
0x5044	U+5703
0x5045	U+5708
0x5046	U+570B
0x5047	U+570D
0x5048	U+5712
0x5049	U+5713
0x504A	U+5716
0x504B	U+5718
0x504C	U+571F
0x504D	U+5723
0x504E	U+5728
0x504F	U+5729
0x5050	U+572D
0x5051	U+572F
0x5052	U+5730
0x5053	U+5740
0x5054	U+5742
0x5055	U+5747
0x5056	U+574A
0x5057	U+574E
0x5058	U+574F
0x5059	U+5751
0x505A	U+5761
0x505B	U+5764
0x505C	U+5766
0x505D	U+5767
0x505E	U+5782
0x505F	U+5789
0x5060	U+578C
0x5061	U+5793
0x5062	U+57A2
0x5063	U+57B5
0x5064	U+57B9
0x5065	U+57C1
0x5066	U+57C3
0x5067	U+57C7
0x5068	U+57C8
0x5069	U+57CB
0x506A	U+57CE
0x506B	U+57DF
0x506C	U+57E3
0x506D	U+57E9
0x506E	U+57EE
0x506F	U+57F6
0x5070	U+57F7
0x5071	U+57F9
0x5072	U+57FA
0x5073	U+5802
0x5074	U+5805
0x5075	U+5806
0x5076	U+5824
