# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3475	U+59E8
0x3476	U+21735
0x3477	U+21743
0x3478	U+5A6C
0x3479	U+36EA
0x347A	U+21754
0x347B	U+5A6A
0x347C	U+21795
0x347D	U+5A8E
0x347E	U+5A84
0x3521	U+2A993
0x3522	U+21823
0x3523	U+218BB
0x3524	U+218BD
0x3525	U+218FB
0x3526	U+21959
0x3527	U+21974
0x3528	U+21975
0x3529	U+219AB
0x352A	U+219AE
0x352B	U+21B37
0x352C	U+21B66
0x352D	U+21B8D
0x352E	U+21B84
0x352F	U+21B86
0x3530	U+21B88
0x3531	U+21B9C
0x3532	U+21BA3
0x3533	U+21BA8
0x3534	U+21BB7
0x3535	U+209B3
0x3536	U+21D49
0x3537	U+21D80
0x3538	U+21E07
0x3539	U+21ED3
0x353A	U+21F07
0x353B	U+5D97
0x353C	U+21F6B
0x353D	U+5E12
0x353E	U+220B0
0x353F	U+5E45
0x3540	U+5E4D
0x3541	U+22167
0x3542	U+5E89
0x3543	U+221F1
0x3544	U+3874
0x3545	U+22216
0x3546	U+223D1
0x3547	U+2240E
0x3548	U+4E2A
0x3549	U+23A27
0x354A	U+20034
0x354B	U+2B833
0x354C	U+20051
0x354D	U+235F1
0x354E	U+21B08
0x354F	U+20027
0x3550	U+24F38
0x3551	U+2856D
0x3552	U+2014D
0x3553	U+20173
0x3554	U+5FC6
0x3555	U+225B1
0x3556	U+5FC7
0x3557	U+225B5
0x3558	U+225C7
0x3559	U+5FCF
0x355B	U+225F7
0x355C	U+6011
0x355D	U+6032
0x355E	U+3913
0x355F	U+6026
0x3560	U+601B
0x3561	U+3178B
0x3562	U+6029
0x3563	U+2262D
0x3564	U+225E0
0x3565	U+3915
0x3566	U+6044
0x3567	U+22655
0x3568	U+6045
0x3569	U+22654
0x356A	U+6051
0x356B	U+2263E
0x356C	U+3921
0x356D	U+3933
0x356E	U+6091
0x356F	U+22681
0x3570	U+226B2
0x3571	U+609C
0x3572	U+226B5
0x3573	U+2263D
0x3574	U+6087
0x3575	U+608B
0x3576	U+225FE
0x3577	U+60A7
0x3578	U+3908
0x3579	U+226B6
0x357A	U+60CD
0x357B	U+2271C
0x357C	U+60CF
0x357D	U+226B8
0x357E	U+2271E
0x3621	U+60C0
0x3622	U+22720
0x3623	U+60DD
0x3624	U+22721
0x3625	U+226E8
0x3626	U+22778
0x3627	U+60FC
0x3628	U+610A
0x3629	U+22782
0x362A	U+22784
0x362B	U+22746
0x362C	U+22740
0x362D	U+22785
0x362E	U+22823
0x362F	U+6110
0x3630	U+22786
0x3631	U+3965
0x3632	U+2272B
0x3633	U+22759
0x3634	U+2291B
0x3635	U+616C
0x3636	U+227CE
0x3637	U+227D1
0x3638	U+227DE
0x3639	U+6143
0x363A	U+227D3
0x363B	U+227D4
0x363C	U+227D6
0x363D	U+2EB29
0x363E	U+22825
0x363F	U+6173
0x3640	U+22826
0x3641	U+3986
0x3642	U+2282F
0x3643	U+22827
0x3644	U+22828
0x3645	U+22829
0x3646	U+22810
0x3647	U+2282A
0x3648	U+22804
0x3649	U+228AC
0x364A	U+3996
0x364B	U+3989
0x364C	U+2287F
0x364D	U+22881
0x364E	U+22886
0x364F	U+61AD
0x3650	U+22887
0x3651	U+2283F
0x3652	U+61D3
0x3653	U+228B2
