# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x7434	U+21B7B
0x7435	U+3779
0x7436	U+21B85
0x7437	U+21B87
0x7438	U+21B89
0x7439	U+28CD2
0x743A	U+21B8A
0x743B	U+21B8B
0x743C	U+21B8C
0x743D	U+22BAC
0x743E	U+21B92
0x743F	U+21B93
0x7440	U+21B94
0x7441	U+21B98
0x7442	U+21B9B
0x7443	U+21B9E
0x7444	U+21BA0
0x7445	U+23EFE
0x7446	U+21BA4
0x7447	U+21BA5
0x7448	U+21BBA
0x7449	U+21BA9
0x744A	U+21BAB
0x744B	U+21BAC
0x744C	U+21BAD
0x744D	U+21BAE
0x744E	U+21BB8
0x744F	U+21BB3
0x7450	U+2108C
0x7451	U+21BB5
0x7452	U+21BB6
0x7453	U+21BB9
0x7454	U+21BBD
0x7455	U+21BBE
0x7456	U+21BC0
0x7457	U+21C76
0x7458	U+22B51
0x7459	U+21CC3
0x745A	U+21CC1
0x745B	U+21CCE
0x745C	U+21CDB
0x745D	U+21CDC
0x745E	U+21CE3
0x745F	U+21CE4
0x7460	U+21CDD
0x7461	U+21CE5
0x7462	U+21CE9
0x7463	U+21CF5
0x7464	U+21CF9
0x7465	U+21CFA
0x7466	U+21CFD
0x7467	U+21D2F
0x7468	U+21D81
0x7469	U+21D7A
0x746A	U+21DA8
0x746B	U+8A14
0x746C	U+21E0F
0x746D	U+21E5E
0x746E	U+21E5F
0x746F	U+21E60
0x7470	U+21E61
0x7471	U+21EA5
0x7472	U+21EA6
0x7473	U+21ED4
0x7474	U+21ED7
0x7475	U+21ED6
0x7476	U+21F38
0x7477	U+21F39
0x7478	U+21F7E
0x7479	U+21FAB
0x747A	U+21FAC
0x747B	U+21FAD
0x747C	U+21FC5
0x747D	U+23054
0x747E	U+22025
0x7521	U+22026
0x7522	U+22027
0x7524	U+22032
0x7525	U+2204B
0x7526	U+2204D
0x7527	U+22051
0x7528	U+2209C
0x7529	U+22078
0x752A	U+2208C
0x752B	U+2208E
0x752C	U+220C8
0x752D	U+220C9
0x752E	U+220CA
0x752F	U+220F1
0x7530	U+22103
0x7531	U+21CAB
0x7532	U+22129
0x7533	U+203B4
0x7534	U+2212F
0x7535	U+22144
0x7536	U+22146
0x7537	U+5E68
0x7538	U+22181
0x7539	U+22195
0x753A	U+22198
0x753B	U+221A0
0x753C	U+221A8
0x753D	U+221AA
0x753E	U+221AB
0x753F	U+221AD
0x7540	U+221E1
0x7541	U+22231
0x7542	U+2227D
0x7543	U+2227E
0x7544	U+22291
0x7545	U+222AB
0x7546	U+222EC
0x7547	U+222F4
0x7548	U+2230A
0x7549	U+2230E
0x754A	U+223E0
0x754B	U+223E1
0x754C	U+2248E
0x754D	U+2249E
0x754E	U+22596
0x754F	U+225BA
0x7550	U+225C6
0x7551	U+225D6
0x7552	U+225C9
0x7553	U+5FFC
0x7554	U+225F8
0x7556	U+2262C
0x7557	U+2262E
0x7558	U+2261D
0x7559	U+22669
0x755A	U+2266B
0x755B	U+2266D
0x755C	U+22672
0x755D	U+226B3
