# "Hán Nôm Coded Character Repertoire 2007" to Unicode mappings compiled from multiple versions
#   of the Unihan database.
#
0x475D	U+2AA8F
0x475E	U+2BDF0
0x475F	U+2AAA9
0x4761	U+2AAAA
0x4762	U+2BE09
0x4763	U+2BE0A
0x4764	U+2BE08
0x4765	U+2BE0B
0x4766	U+2BE0C
0x4767	U+2AAAB
0x4768	U+2BE0D
0x4769	U+2BE0E
0x476A	U+2BE0F
0x476B	U+2BE10
0x476E	U+2AAB3
0x4772	U+2AABB
0x4773	U+2BE2C
0x4774	U+2BE31
0x4775	U+2BE36
0x4776	U+2BE37
0x4778	U+2BE3D
0x4779	U+2BE3F
0x477A	U+2AAC6
0x477B	U+2BE44
0x477D	U+2AACA
0x477E	U+2BE4A
0x4821	U+2BE57
0x4822	U+2AAD3
0x4823	U+2BE63
0x4824	U+2AADA
0x4826	U+2BE6D
0x4827	U+2BE70
0x4829	U+2AAE2
0x482A	U+2AAE6
0x482B	U+2BE88
0x482C	U+2BE8E
0x482D	U+2AAF5
0x482E	U+2AAF6
0x482F	U+2BE92
0x4830	U+2AAFC
0x4831	U+60AD
0x4832	U+2BE99
0x4834	U+2BEAB
0x4835	U+2BEA6
0x4836	U+2AB0E
0x4837	U+3280F
0x4838	U+2AB0F
0x4839	U+2AB0C
0x483B	U+2BEA7
0x483C	U+2BEBC
0x483D	U+2BEB6
0x483E	U+2AB14
0x483F	U+2BEB1
0x4840	U+2AB19
0x4841	U+2BEB4
0x4843	U+2BEC2
0x4844	U+2AB21
0x4845	U+2BEBD
0x4846	U+2AB24
0x4847	U+2BEBE
0x4848	U+2AB27
0x4849	U+2C4D0
0x484B	U+2BEC8
0x484C	U+2BEC5
0x484D	U+2AB2A
0x484E	U+2AB2B
0x484F	U+2AB2D
0x4851	U+2BEC9
0x4855	U+2AB2E
0x4856	U+2BECB
0x4857	U+2AB32
0x4859	U+2AB33
0x485A	U+2BECE
0x485B	U+2AB36
0x485D	U+2BED0
0x485F	U+2BED4
0x4860	U+2AB3C
0x4862	U+2AB3D
0x4863	U+2BEDC
0x4864	U+2AB40
0x4865	U+2BEE0
0x4866	U+2AB43
0x4867	U+2BEE3
0x4868	U+2AB44
0x4869	U+2BEE4
0x486B	U+2AB47
0x486C	U+2BEFD
0x486D	U+2AB58
0x486E	U+2BF0C
0x486F	U+2BF0E
0x4870	U+2AB5A
0x4871	U+317E6
0x4872	U+2BF14
0x4873	U+2AB63
0x4874	U+2AB61
0x4875	U+2BF1A
0x4876	U+2AB65
0x4877	U+2BF1C
0x4878	U+2AB69
0x4879	U+2BF20
0x487A	U+2BF19
0x487B	U+2AB6B
0x487C	U+2BF30
0x487D	U+2BF22
0x487E	U+2AB6E
0x4921	U+2BF33
0x4922	U+2BF29
0x4923	U+2AB71
0x4924	U+2AB73
0x4925	U+2BF34
0x4926	U+2BF3B
0x4927	U+2AB7D
0x4928	U+2BF3F
0x4929	U+2AB80
0x492A	U+2AB78
0x492B	U+2BF42
0x492C	U+2BF4C
0x492D	U+2AB88
0x492E	U+2BF4E
0x492F	U+2BF56
0x4931	U+2BF45
0x4933	U+2AB8A
0x4935	U+2BF57
0x4936	U+2BF5F
0x4937	U+2AB8F
0x4938	U+2AB92
0x4939	U+2BF51
0x493A	U+2BF55
0x493B	U+2AB94
0x493C	U+2BF64
0x493D	U+2BF6F
0x493E	U+2AB8D
0x493F	U+2BF58
0x4940	U+2BF5D
0x4941	U+2BF60
0x4942	U+2BF61
0x4945	U+2BF6D
0x4946	U+2AB9A
0x4947	U+2BF70
0x4948	U+2AB9E
0x4949	U+2BF66
0x494A	U+2BF76
0x494B	U+2ABA3
0x494C	U+2BF79
0x494D	U+2BF7A
0x494E	U+2ABA6
0x494F	U+2BF86
0x4950	U+2ABA8
0x4952	U+22CDD
0x4954	U+2BF7B
0x4955	U+2BF7F
0x4956	U+2ABA9
0x4959	U+2ABAD
0x495A	U+2D8A5
0x495B	U+2BF84
0x495C	U+2ABAF
0x495D	U+30510
0x495F	U+2ABB3
0x4960	U+2ABB4
0x4961	U+31833
0x4964	U+2BF91
0x4965	U+2BF95
0x4966	U+2BF90
0x4967	U+2ABBB
0x4968	U+31845
0x4969	U+2BF96
0x496C	U+2ABBD
0x496D	U+2BF97
0x4970	U+2BF8C
0x4971	U+2BF9D
0x4972	U+2ABCA
0x4973	U+2BFC7
0x4974	U+2ABD5
0x4976	U+2BFD0
0x4977	U+2ABD7
0x4978	U+2BFD5
0x4979	U+2ABDB
0x497A	U+2BFDF
0x497B	U+2ABDD
0x497C	U+2BFE8
0x497D	U+2ABDE
0x497E	U+2BFF0
0x4A21	U+2ABEB
0x4A22	U+2BFF4
0x4A23	U+2ABEF
0x4A24	U+2BFF8
0x4A25	U+2ABF0
0x4A26	U+2BFF9
0x4A27	U+2BFFF
0x4A28	U+2ABF5
0x4A2A	U+31875
0x4A2B	U+2ABFC
0x4A2D	U+2ABFE
0x4A2F	U+2AC02
0x4A30	U+32909
0x4A31	U+2C01B
0x4A32	U+2AC03
0x4A34	U+2206F
0x4A35	U+2AC07
0x4A36	U+2C026
0x4A37	U+2C02B
0x4A38	U+2AC13
0x4A39	U+2AC0F
0x4A3A	U+2C02D
0x4A3B	U+2AC1B
0x4A3C	U+2C030
0x4A3D	U+2AC24
0x4A3E	U+2C036
0x4A3F	U+2C03A
0x4A40	U+2AC2C
0x4A41	U+3188E
0x4A42	U+2C040
0x4A43	U+2AC2E
0x4A44	U+2AC28
0x4A46	U+2C044
0x4A47	U+2AC30
0x4A48	U+2C049
0x4A49	U+99B9
0x4A4A	U+2AC39
0x4A4C	U+2C04A
0x4A4E	U+2C052
0x4A4F	U+2AC3F
0x4A50	U+2C04C
0x4A51	U+2C050
0x4A52	U+2AC41
0x4A53	U+2C051
0x4A54	U+2AC42
0x4A55	U+2C04F
0x4A56	U+2AC45
0x4A58	U+2AC46
0x4A59	U+2C05A
0x4A5A	U+318AF
0x4A5B	U+2AC4A
0x4A5C	U+2C056
0x4A5D	U+2C05C
0x4A5F	U+2AC4E
0x4A60	U+2AC50
0x4A64	U+2C065
0x4A65	U+2AC55
0x4A66	U+2C06B
0x4A67	U+2AC58
0x4A68	U+2C06E
0x4A69	U+2AC5A
0x4A6A	U+2C076
0x4A6B	U+32959
0x4A6C	U+2AC5C
0x4A6D	U+2C07B
0x4A6E	U+2AC5F
0x4A6F	U+2AC61
0x4A72	U+2C086
0x4A73	U+2C087
0x4A74	U+2AC68
0x4A75	U+2C08D
0x4A76	U+267DF
0x4A77	U+2AC6C
0x4A78	U+2C091
0x4A79	U+2AC6E
0x4A7A	U+2C099
0x4A7B	U+2AC6F
0x4A7C	U+318BD
0x4A7D	U+2C589
0x4A7E	U+2AC74
0x4B22	U+2C0A5
0x4B23	U+2C0A8
0x4B24	U+2AC87
0x4B25	U+2AC8D
0x4B26	U+2AC82
0x4B28	U+2AC9D
0x4B2A	U+2C0BB
0x4B2B	U+2ACA3
0x4B2C	U+2C0C8
0x4B2D	U+2ACAD
0x4B2E	U+318DC
0x4B33	U+2ACBD
0x4B34	U+2C0EA
0x4B35	U+2ACC2
0x4B36	U+2C0E4
0x4B37	U+2ACBE
0x4B38	U+2C0D1
0x4B39	U+2ACCB
0x4B3A	U+2C0F1
0x4B3B	U+2C0FB
0x4B3C	U+2ACD4
0x4B3D	U+2C103
0x4B3E	U+2ACD8
0x4B3F	U+2C105
0x4B40	U+2C113
0x4B41	U+2ACCC
0x4B42	U+2ACDE
0x4B43	U+2ACE8
0x4B44	U+3192A
0x4B45	U+2ACEB
0x4B46	U+3190E
0x4B47	U+31912
0x4B48	U+31914
0x4B49	U+31915
0x4B4A	U+2C12A
0x4B4C	U+2ACF4
0x4B4D	U+329B7
0x4B4E	U+2C131
0x4B4F	U+2C126
0x4B51	U+2C11E
0x4B53	U+2ACFC
0x4B54	U+2C12E
0x4B55	U+2C12F
0x4B56	U+2AD01
0x4B57	U+329C2
