# "VHN 02:1998" to Unicode mappings compiled from multiple versions of the Unihan database.
#
0x3821	U+8900
0x3822	U+276C8
0x3823	U+276F7
0x3825	U+894E
0x3826	U+27767
0x3827	U+27891
0x3828	U+89DA
0x382A	U+89EB
0x382B	U+27902
0x382F	U+8A84
0x3830	U+8AEA
0x3833	U+27E6A
0x3834	U+27E66
0x3836	U+27E7C
0x383A	U+27FE8
0x383E	U+28015
0x3840	U+28024
0x3841	U+8E2D
0x3842	U+2804B
0x3843	U+2804D
0x3844	U+28067
0x3848	U+28069
0x384A	U+8E40
0x384C	U+280CC
0x384E	U+280D5
0x3850	U+2811E
0x3852	U+28101
0x3853	U+28138
0x385A	U+2815E
0x385B	U+28165
0x385D	U+28193
0x385E	U+2817A
0x3860	U+2818F
0x3865	U+28251
0x3866	U+2828C
0x3868	U+28437
0x3869	U+28438
0x386A	U+2843F
0x386E	U+284D0
0x386F	U+284BB
0x3871	U+2850A
0x3873	U+285CA
0x3874	U+285BC
0x3877	U+28809
0x3878	U+915F
0x387B	U+28834
0x387E	U+2889F
0x3921	U+91B2
0x3922	U+288E5

