# The supplementary charset for names of persons and places from the Han'yō Denshi Programme
0x2123	U+6A73
0x2847	U+7BF4
0x2848	U+7C09
0x2849	U+7C36
0x284A	U+7C3B
0x284B	U+7C67
0x284C	U+7C69
0x284D	U+7CD9
0x284E	U+7DAA
0x284F	U+7E0C
0x2851	U+7E78
0x2852	U+7E68
0x2853	U+7E7E
0x2854	U+261D7
0x2855	U+2B7C8
0x2856	U+8085
0x2858	U+8187
0x285B	U+26AAD
0x285D	U+20C25
0x285E	U+2B7CE
0x285F	U+2B7D3
0x2860	U+8481
0x2861	U+84A8
0x2863	U+450F
0x2864	U+84EB
0x2867	U+26F2F
0x2868	U+8596
0x2869	U+8598
0x286A	U+85CD
0x286B	U+85B3
0x286C	U+85E1
0x286D	U+27039
0x286E	U+8627
0x2870	U+45E6
0x2871	U+27525
0x2872	U+882D
0x2873	U+2B7D9
0x2874	U+2B7DA
0x2875	U+465C
0x2876	U+8933
0x2877	U+895A
0x2878	U+277B8
0x2879	U+897F
0x287A	U+89D2
0x287C	U+471A
0x287D	U+8B81
0x287E	U+8B89
0x2921	U+2B7DD
0x2922	U+27B87
0x2923	U+8CA0
0x2924	U+477C
0x2926	U+27E19
0x2927	U+27E3D
0x2928	U+8E46
0x2929	U+8F24
0x292A	U+4875
0x292B	U+2B755
0x292C	U+2844D
0x292D	U+28452
0x292E	U+8FBE
0x292F	U+8FC3
0x2930	U+8FC6
0x2931	U+8FCA
0x2932	U+488C
0x2933	U+8FCB
0x2934	U+8FCD
0x2935	U+8FD2
0x2936	U+8FD3
0x2937	U+2846D
0x2938	U+8FD5
0x2939	U+4890
0x293A	U+8FE0
0x293B	U+8FE1
0x293C	U+8FE3
0x293D	U+8FE4
0x293E	U+28489
0x293F	U+8FE8
0x2940	U+2848C
0x2941	U+8FEE
0x2942	U+8FF1
0x2943	U+8FFB
0x2944	U+4894
0x2945	U+8FFE
0x2946	U+8FFF
0x2947	U+9002
0x2949	U+284AD
0x294A	U+284B0
0x294B	U+900D
0x294C	U+284C5
0x294D	U+900C
0x294F	U+901B
0x2950	U+901E
0x2951	U+9024
0x2952	U+9029
0x2953	U+902F
0x2954	U+902A
0x2955	U+902B
0x2956	U+902C
0x2957	U+902D
0x2958	U+284F5
0x2959	U+9034
0x295A	U+9037
0x295B	U+2853B
0x295C	U+904F
0x295D	U+9052
0x295E	U+903E
0x295F	U+2851D
0x2960	U+903F
0x2961	U+9040
0x2962	U+2851F
0x2963	U+9042
0x2964	U+9044
0x2965	U+904C
0x2966	U+28527
0x2968	U+9058
0x2969	U+905B
0x296A	U+28560
0x296B	U+28563
0x296C	U+905D
0x296D	U+905F
0x296E	U+9062
0x296F	U+28565
0x2971	U+9067
0x2972	U+28588
0x2973	U+906C
0x2974	U+2858A
0x2975	U+9070
0x2976	U+9073
0x2978	U+9075
0x2979	U+9077
0x297A	U+285B9
0x297B	U+285BB
0x297C	U+9078
0x297E	U+907B
0x2A21	U+285BF
0x2A22	U+48AB
0x2A23	U+285F1
0x2A24	U+9085
0x2A25	U+9083
0x2A26	U+48B0
0x2A27	U+9088
0x2A29	U+908B
0x2A2A	U+908C
0x2A2B	U+908D
0x2A2C	U+28637
0x2A2D	U+28642
0x2A2E	U+908E
0x2A2F	U+28655
0x2A30	U+28659
0x2A31	U+2865A
0x2A32	U+9090
0x2A33	U+2865F
0x2A35	U+919A
0x2A36	U+2B7EF
0x2A37	U+2B4BC
0x2A39	U+93E0
0x2A3A	U+9429
0x2A3B	U+9439
0x2A3C	U+96A7
0x2A3D	U+9686
0x2A3E	U+96E3
0x2A3F	U+96E8
0x2A40	U+4A24
0x2A41	U+4A28
0x2A42	U+291D5
0x2A43	U+5568
0x2A44	U+9758
0x2A45	U+975A
0x2A46	U+975B
0x2A47	U+975C
0x2A48	U+975D
0x2A49	U+4A3C
0x2A4A	U+97C6
0x2A4B	U+29682
0x2A4C	U+4B22
0x2A4D	U+98E3
0x2A4E	U+98E4
0x2A4F	U+29685
0x2A50	U+29688
0x2A51	U+98E6
0x2A52	U+29696
0x2A53	U+98EA
0x2A54	U+29695
0x2A55	U+4B2A
0x2A56	U+296A9
0x2A57	U+98F5
0x2A58	U+98F6
0x2A59	U+4B33
0x2A5A	U+98FB
0x2A5B	U+4B34
0x2A5C	U+296B9
0x2A5D	U+296C6
0x2A5E	U+4B2E
0x2A60	U+9901
0x2A61	U+9902
