# KPS 9566-2011? to Unicode mapping table
# From a built-in table in Red Star OS 3.0 desktop
# Text encoding: UTF-8

0x8452	U+B2A8	# 늨
0x8453	U+B2A9	# 늩
0x8454	U+B2AB	# 늫
0x8455	U+B292	# 늒
0x8456	U+B2A4	# 늤
0x8457	U+B2CB	# 닋
0x8458	U+B2CD	# 닍
0x8459	U+B2CE	# 닎
0x845A	U+B2CF	# 닏
0x8461	U+B2D1	# 닑
0x8462	U+B2D3	# 닓
0x8463	U+B2D4	# 닔
0x8464	U+B2D5	# 닕
0x8465	U+B2D6	# 닖
0x8466	U+B2D7	# 닗
0x8467	U+B2DA	# 닚
0x8468	U+B2DE	# 닞
0x8469	U+B2DF	# 닟
0x846A	U+B2E0	# 닠
0x846B	U+B2E1	# 닡
0x846C	U+B2E3	# 닣
0x846D	U+B2CA	# 닊
0x846E	U+B2DC	# 닜
0x846F	U+B0B7	# 낷
0x8470	U+B0B9	# 낹
0x8471	U+B0BA	# 낺
0x8472	U+B0BB	# 낻
0x8473	U+B0BD	# 낽
0x8474	U+B0BE	# 낾
0x8475	U+B0BF	# 낿
0x8476	U+B0C0	# 냀
0x8477	U+B0C1	# 냁
0x8478	U+B0C2	# 냂
0x8479	U+B0C3	# 냃
0x847A	U+B0C6	# 냆
0x8481	U+B0CA	# 냊
0x8482	U+B0CB	# 냋
0x8483	U+B0CC	# 냌
0x8484	U+B0CD	# 냍
0x8485	U+B0CE	# 냎
0x8486	U+B0CF	# 냏
0x8487	U+B0B6	# 낶
0x8488	U+B0ED	# 냭
0x8489	U+B0EF	# 냯
0x848A	U+B0F0	# 냰
0x848B	U+B0F1	# 냱
0x848C	U+B0F2	# 냲
0x848D	U+B0F3	# 냳
0x848E	U+B0F4	# 냴
0x848F	U+B0F5	# 냵
0x8490	U+B0F6	# 냶
0x8491	U+B0F7	# 냷
0x8492	U+B0F8	# 냸
0x8493	U+B0F9	# 냹
0x8494	U+B0FA	# 냺
0x8495	U+B0FB	# 냻
0x8496	U+B0FC	# 냼
0x8497	U+B0FD	# 냽
0x8498	U+B0FE	# 냾
0x8499	U+B0FF	# 냿
0x849A	U+B101	# 넁
0x849B	U+B102	# 넂
0x849C	U+B103	# 넃
0x849D	U+B104	# 넄
0x849E	U+B105	# 넅
0x849F	U+B106	# 넆
0x84A0	U+B107	# 넇
0x84A1	U+B0EE	# 냮
0x84A2	U+B100	# 넀
0x84A3	U+B127	# 넧
0x84A4	U+B129	# 넩
0x84A5	U+B12A	# 넪
0x84A6	U+B12B	# 넫
0x84A7	U+B12D	# 넭
0x84A8	U+B12E	# 넮
0x84A9	U+B12F	# 넯
0x84AA	U+B130	# 넰
0x84AB	U+B131	# 넱
0x84AC	U+B132	# 넲
0x84AD	U+B133	# 넳
0x84AE	U+B136	# 넶
0x84AF	U+B13A	# 넺
0x84B0	U+B13B	# 넻
0x84B1	U+B13C	# 넼
0x84B2	U+B13D	# 넽
0x84B3	U+B13E	# 넾
0x84B4	U+B13F	# 넿
0x84B5	U+B126	# 넦
0x84B6	U+B15D	# 녝
0x84B7	U+B15F	# 녟
0x84B8	U+B161	# 녡
0x84B9	U+B162	# 녢
0x84BA	U+B163	# 녣
0x84BB	U+B164	# 녤
0x84BC	U+B165	# 녥
0x84BD	U+B166	# 녦
0x84BE	U+B167	# 녧
0x84BF	U+B168	# 녨
0x84C0	U+B169	# 녩
0x84C1	U+B16A	# 녪
0x84C2	U+B16B	# 녫
0x84C3	U+B16C	# 녬
0x84C4	U+B16D	# 녭
0x84C5	U+B16E	# 녮
0x84C6	U+B16F	# 녯
0x84C7	U+B171	# 녱
0x84C8	U+B172	# 녲
0x84C9	U+B173	# 녳
0x84CA	U+B174	# 녴
0x84CB	U+B175	# 녵
0x84CC	U+B176	# 녶
0x84CD	U+B177	# 녷
0x84CE	U+B15E	# 녞
0x84CF	U+B170	# 녰
0x84D0	U+B1CD	# 뇍
0x84D1	U+B1CF	# 뇏
0x84D2	U+B1D1	# 뇑
0x84D3	U+B1D2	# 뇒
0x84D4	U+B1D3	# 뇓
0x84D5	U+B1D5	# 뇕
0x84D6	U+B1D6	# 뇖
0x84D7	U+B1D7	# 뇗
0x84D8	U+B1D8	# 뇘
0x84D9	U+B1D9	# 뇙
0x84DA	U+B1DA	# 뇚
0x84DB	U+B1DB	# 뇛
0x84DC	U+B1DE	# 뇞
0x84DD	U+B1E1	# 뇡
0x84DE	U+B1E2	# 뇢
0x84DF	U+B1E3	# 뇣
0x84E0	U+B1E4	# 뇤
0x84E1	U+B1E5	# 뇥
0x84E2	U+B1E6	# 뇦
0x84E3	U+B1E7	# 뇧
0x84E4	U+B1CE	# 뇎
0x84E5	U+B1E0	# 뇠
0x84E6	U+B259	# 뉙
0x84E7	U+B25B	# 뉛
0x84E8	U+B25D	# 뉝
0x84E9	U+B25E	# 뉞
0x84EA	U+B25F	# 뉟
0x84EB	U+B261	# 뉡
0x84EC	U+B262	# 뉢
0x84ED	U+B263	# 뉣
0x84EE	U+B264	# 뉤
0x84EF	U+B265	# 뉥
0x84F0	U+B266	# 뉦
0x84F1	U+B267	# 뉧
0x84F2	U+B26A	# 뉪
0x84F3	U+B26B	# 뉫
0x84F4	U+B26E	# 뉮
0x84F5	U+B26F	# 뉯
0x84F6	U+B270	# 뉰
0x84F7	U+B271	# 뉱
0x84F8	U+B272	# 뉲
0x84F9	U+B273	# 뉳
0x84FA	U+B25A	# 뉚
0x84FB	U+B26C	# 뉬
0x84FC	U+B2AD	# 늭
0x84FD	U+B2AF	# 늯
0x84FE	U+B2B1	# 늱
0x8541	U+B2B2	# 늲
0x8542	U+B2B3	# 늳
0x8543	U+B2B5	# 늵
0x8544	U+B2B6	# 늶
0x8545	U+B2B7	# 늷
0x8546	U+B2B8	# 늸
0x8547	U+B2B9	# 늹
0x8548	U+B2BA	# 늺
0x8549	U+B2BB	# 늻
0x854A	U+B2BD	# 늽
0x854B	U+B2BE	# 늾
0x854C	U+B2BF	# 늿
0x854D	U+B2C2	# 닂
0x854E	U+B2C3	# 닃
0x854F	U+B2C4	# 닄
0x8550	U+B2C5	# 닅
0x8551	U+B2C6	# 닆
0x8552	U+B2C7	# 닇
0x8553	U+B2AE	# 늮
0x8554	U+B2C0	# 닀
0x8555	U+B195	# 놕
0x8556	U+B197	# 놗
0x8557	U+B199	# 놙
0x8558	U+B19A	# 놚
0x8559	U+B19B	# 놛
0x855A	U+B19D	# 놝
0x8561	U+B19E	# 놞
0x8562	U+B19F	# 놟
0x8563	U+B1A0	# 놠
0x8564	U+B1A1	# 놡
0x8565	U+B1A2	# 놢
0x8566	U+B1A3	# 놣
0x8567	U+B1A4	# 놤
0x8568	U+B1A5	# 놥
0x8569	U+B1A6	# 놦
0x856A	U+B1A9	# 놩
0x856B	U+B1AA	# 놪
0x856C	U+B1AB	# 놫
0x856D	U+B1AC	# 놬
0x856E	U+B1AD	# 놭
0x856F	U+B1AE	# 놮
0x8570	U+B1AF	# 놯
0x8571	U+B196	# 놖
0x8572	U+B221	# 눡
0x8573	U+B223	# 눣
0x8574	U+B224	# 눤
0x8575	U+B225	# 눥
0x8576	U+B226	# 눦
0x8577	U+B227	# 눧
0x8578	U+B229	# 눩
0x8579	U+B22A	# 눪
0x857A	U+B22B	# 눫
0x8581	U+B22C	# 눬
0x8582	U+B22D	# 눭
0x8583	U+B22E	# 눮
0x8584	U+B22F	# 눯
0x8585	U+B230	# 눰
0x8586	U+B231	# 눱
0x8587	U+B232	# 눲
0x8588	U+B235	# 눵
0x8589	U+B236	# 눶
0x858A	U+B237	# 눷
0x858B	U+B238	# 눸
0x858C	U+B239	# 눹
0x858D	U+B23A	# 눺
0x858E	U+B23B	# 눻
0x858F	U+B222	# 눢
0x8590	U+B1B1	# 놱
0x8591	U+B1B3	# 놳
0x8592	U+B1B4	# 놴
0x8593	U+B1B5	# 놵
0x8594	U+B1B6	# 놶
0x8595	U+B1B7	# 놷
0x8596	U+B1B8	# 놸
0x8597	U+B1B9	# 놹
0x8598	U+B1BA	# 놺
0x8599	U+B1BB	# 놻
0x859A	U+B1BC	# 놼
0x859B	U+B1BD	# 놽
