03-08	0x2328	0xA3A8	U+FF08	# （
03-09	0x2329	0xA3A9	U+FF09	# ）
03-10	0x232A	0xA3AA	U+FF0A	# ＊
03-11	0x232B	0xA3AB	U+FF0B	# ＋
03-12	0x232C	0xA3AC	U+FF0C	# ，
03-13	0x232D	0xA3AD	U+FF0D	# －
03-14	0x232E	0xA3AE	U+FF0E	# ．
03-15	0x232F	0xA3AF	U+FF0F	# ／
03-16	0x2330	0xA3B0	U+FF10	# ０
03-17	0x2331	0xA3B1	U+FF11	# １
03-18	0x2332	0xA3B2	U+FF12	# ２
03-19	0x2333	0xA3B3	U+FF13	# ３
03-20	0x2334	0xA3B4	U+FF14	# ４
03-21	0x2335	0xA3B5	U+FF15	# ５
03-22	0x2336	0xA3B6	U+FF16	# ６
03-23	0x2337	0xA3B7	U+FF17	# ７
03-24	0x2338	0xA3B8	U+FF18	# ８
03-25	0x2339	0xA3B9	U+FF19	# ９
03-26	0x233A	0xA3BA	U+FF1A	# ：
03-27	0x233B	0xA3BB	U+FF1B	# ；
03-28	0x233C	0xA3BC	U+FF1C	# ＜
03-29	0x233D	0xA3BD	U+FF1D	# ＝
03-30	0x233E	0xA3BE	U+FF1E	# ＞
03-31	0x233F	0xA3BF	U+FF1F	# ？
03-32	0x2340	0xA3C0	U+FF20	# ＠
03-33	0x2341	0xA3C1	U+FF21	# Ａ
03-34	0x2342	0xA3C2	U+FF22	# Ｂ
03-35	0x2343	0xA3C3	U+FF23	# Ｃ
03-36	0x2344	0xA3C4	U+FF24	# Ｄ
03-37	0x2345	0xA3C5	U+FF25	# Ｅ
03-38	0x2346	0xA3C6	U+FF26	# Ｆ
03-39	0x2347	0xA3C7	U+FF27	# Ｇ
03-40	0x2348	0xA3C8	U+FF28	# Ｈ
03-41	0x2349	0xA3C9	U+FF29	# Ｉ
03-42	0x234A	0xA3CA	U+FF2A	# Ｊ
03-43	0x234B	0xA3CB	U+FF2B	# Ｋ
03-44	0x234C	0xA3CC	U+FF2C	# Ｌ
03-45	0x234D	0xA3CD	U+FF2D	# Ｍ
03-46	0x234E	0xA3CE	U+FF2E	# Ｎ
03-47	0x234F	0xA3CF	U+FF2F	# Ｏ
03-48	0x2350	0xA3D0	U+FF30	# Ｐ
