Sun Jan 26 12:50:40 2020    stats.pstats

         14385086 function calls (14330813 primitive calls) in 116.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_le.py:18(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:22(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/unkdocsfilter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso2022_jp_ext.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:9(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:17(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:9(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jis_2004.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/shift_jis_2004.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/utf32filter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb2312.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/utf1filter.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5hkscs.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_kr.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:9(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:49(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/simpleprinter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/utf8filter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/utf16filter.py:13(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp932.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/graphdata.py:19(GSetCollection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso2022_jp_ext.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:26(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/shiftjisfilter.py:15(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:11(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:11(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:11(encode)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/designations.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/scsufilter.py:11(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:11(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/pprint.py:72(_safe_key)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
        3    0.000    0.000    0.000    0.000 :0(keys)
        3    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/utf1filter.py:18(_decode_continuation_byte)
