# Unicode equivalents for hanzi in the 楷書體 variant of the ChinaSea Big-5 extension set which
#   collide with positions used for other hanzi in the 黑體 and Unicode-At-On variants.

0x93E2	U+9A12	# 騒
0x93E3	U+9855	# 顕
0x93E4	U+61F2	# 懲
0x93E5	U+96E3	# 難
0x93E6	U+702C	# 瀬
0x93E7	U+7C3F	# 簿
0x93E8	U+9D8F	# 鶏
0x93E9	U+9AC4	# 髄
0x93EA	U+81D3	# 臓
0x93EB	U+8B72	# 譲
0x93EC	U+91B8	# 醸
0x93ED	U+8E8D	# 躍
0x93EE	U+9262	# 鉢
0xFEC9	U+4FFD	# 俽
0xFECA	U+3654	# 㙔
0xFECB	U+564D	# 噍
0xFECC	U+53FE	# 叾
