# Unicode equivalents for the list markers encoding which has portions included in various
#   variants of the ChinaSea Big-5 extension set.

0x97CA	U+24B9	# Ⓓ
0x97CB	U+24BA	# Ⓔ
0x97CC	U+24BB	# Ⓕ
0x97CD	U+24BC	# Ⓖ
0x97CE	U+24BD	# Ⓗ
0x97CF	U+24BE	# Ⓘ
0x97D0	U+24BF	# Ⓙ
0x97D1	U+24C0	# Ⓚ
0x97D2	U+24C1	# Ⓛ
0x97D3	U+24C2	# Ⓜ
0x97D4	U+24C3	# Ⓝ
0x97D5	U+24C4	# Ⓞ
0x97D6	U+24C5	# Ⓟ
0x97D7	U+24C6	# Ⓠ
0x97D8	U+24C7	# Ⓡ
0x97D9	U+24C8	# Ⓢ
0x97DA	U+24C9	# Ⓣ
0x97DB	U+24CA	# Ⓤ
0x97DC	U+24CB	# Ⓥ
0x97DD	U+24CC	# Ⓦ
0x97DE	U+24CD	# Ⓧ
0x97DF	U+24CE	# Ⓨ
0x97E0	U+24CF	# Ⓩ
0x97E1	U+24D0	# ⓐ
0x97E2	U+24D1	# ⓑ
0x97E3	U+24D2	# ⓒ
0x97E4	U+24D3	# ⓓ
0x97E5	U+24D4	# ⓔ
0x97E6	U+24D5	# ⓕ
0x97E7	U+24D6	# ⓖ
0x97E8	U+24D7	# ⓗ
0x97E9	U+24D8	# ⓘ
0x97EA	U+24D9	# ⓙ
0x97EB	U+24DA	# ⓚ
0x97EC	U+24DB	# ⓛ
0x97ED	U+24DC	# ⓜ
0x97EE	U+24DD	# ⓝ
0x97EF	U+24DE	# ⓞ
0x97F0	U+24DF	# ⓟ
0x97F1	U+24E0	# ⓠ
0x97F2	U+24E1	# ⓡ
0x97F3	U+24E2	# ⓢ
0x97F4	U+24E3	# ⓣ
0x97F5	U+24E4	# ⓤ
0x97F6	U+24E5	# ⓥ
0x97F7	U+24E6	# ⓦ
0x97F8	U+24E7	# ⓧ
0x97F9	U+24E8	# ⓨ
0x97FA	U+24E9	# ⓩ
0x9840	U+1F10C	# 🄌
0x9841	U+278A	# ➊
0x9842	U+278B	# ➋
0x9843	U+278C	# ➌
0x9844	U+278D	# ➍
0x9845	U+278E	# ➎
0x9846	U+278F	# ➏
0x9847	U+2790	# ➐
0x9848	U+2791	# ➑
0x9849	U+2792	# ➒
0x984A	U+2793	# ➓
0x984B	U+24EB	# ⓫
0x984C	U+24EC	# ⓬
0x984D	U+24ED	# ⓭
0x984E	U+24EE	# ⓮
0x984F	U+24EF	# ⓯
0x9850	U+24F0	# ⓰
0x9851	U+24F1	# ⓱
0x9852	U+24F2	# ⓲
0x9853	U+24F3	# ⓳
0x9854	U+24F4	# ⓴
0x9855	U+3251+F875	# inverse ㉑
0x9856	U+3252+F875	# inverse ㉒
0x9857	U+3253+F875	# inverse ㉓
0x9858	U+3254+F875	# inverse ㉔
0x9859	U+3255+F875	# inverse ㉕
0x985A	U+3256+F875	# inverse ㉖
0x985B	U+3257+F875	# inverse ㉗
0x985C	U+3258+F875	# inverse ㉘
0x985D	U+3259+F875	# inverse ㉙
0x985E	U+325A+F875	# inverse ㉚
0x985F	U+325B+F875	# inverse ㉛
0x9860	U+325C+F875	# inverse ㉜
0x9861	U+325D+F875	# inverse ㉝
0x9862	U+325E+F875	# inverse ㉞
0x9863	U+325F+F875	# inverse ㉟
0x9864	U+32B1+F875	# inverse ㊱
0x9865	U+32B2+F875	# inverse ㊲
0x9866	U+32B3+F875	# inverse ㊳
0x9867	U+32B4+F875	# inverse ㊴
0x9868	U+32B5+F875	# inverse ㊵
0x9869	U+32B6+F875	# inverse ㊶
0x986A	U+32B7+F875	# inverse ㊷
0x986B	U+32B8+F875	# inverse ㊸
0x986C	U+32B9+F875	# inverse ㊹
0x986D	U+32BA+F875	# inverse ㊺
0x986E	U+32BB+F875	# inverse ㊻
0x986F	U+32BC+F875	# inverse ㊼
0x9870	U+32BD+F875	# inverse ㊽
0x9871	U+32BE+F875	# inverse ㊾
0x9872	U+32BF+F875	# inverse ㊿
0x9873	U+F866+005B+0035+0031+005D	# inverse [51]
0x9874	U+F866+005B+0035+0032+005D	# inverse [52]
0x9875	U+F866+005B+0035+0033+005D	# inverse [53]
0x9876	U+F866+005B+0035+0034+005D	# inverse [54]
0x9877	U+F866+005B+0035+0035+005D	# inverse [55]
0x9878	U+F866+005B+0035+0036+005D	# inverse [56]
0x9879	U+F866+005B+0035+0037+005D	# inverse [57]
0x987A	U+F866+005B+0035+0038+005D	# inverse [58]
0x987B	U+F866+005B+0035+0039+005D	# inverse [59]
0x987C	U+F866+005B+0036+0030+005D	# inverse [60]
0x987D	U+F866+005B+0036+0031+005D	# inverse [61]
0x987E	U+F866+005B+0036+0032+005D	# inverse [62]
0x98A1	U+F866+005B+0036+0033+005D	# inverse [63]
0x98A2	U+F866+005B+0036+0034+005D	# inverse [64]
