# Unicode equivalents for the hanzi encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set, prioritising the 黑體 variant of the extensions in places
#   where different variants of the ChinaSea extensions use the same position for different hanzi.

0x83B8	U+5F84	# 径
0x83B9	U+631F	# 挟
0x83BA	U+65F6	# 时
0x83BB	U+664B	# 晋
0x83BC	U+4E66	# 书
0x83BD	U+6CFE	# 泾
0x83BE	U+6D43	# 浃
0x83BF	U+4E4C	# 乌
0x83C0	U+72ED	# 狭
0x83C1	U+72C8	# 狈
0x83C2	U+4EA9	# 亩
0x83C3	U+7825	# 砥
0x83C4	U+79EA	# 秪
0x83C5	U+7EBA	# 纺
0x83C6	U+7EB1	# 纱
0x83C7	U+7EB9	# 纹
0x83C8	U+7EAF	# 纯
0x83C9	U+7EBD	# 纽
0x83CA	U+7EB0	# 纰
0x83CB	U+7EA7	# 级
0x83CC	U+7EAD	# 纭
0x83CD	U+7EB3	# 纳
0x83CE	U+7EB8	# 纸
0x83CF	U+7EB7	# 纷
0x83D0	U+80C1	# 胁
0x83D1	U+8109	# 脉
0x83D2	U+520D	# 刍
0x83D3	U+8BB0	# 记
0x83D4	U+8BA6	# 讦
0x83D5	U+8BA8	# 讨
0x83D6	U+8BA7	# 讧
0x83D7	U+8BAA	# 讪
0x83D8	U+8BAF	# 讯
0x83D9	U+8BAD	# 训
0x83DA	U+8BAB	# 讫
0x83DB	U+5C82	# 岂
0x83DC	U+8D22	# 财
0x83DD	U+8D21	# 贡
0x83DE	U+8F69	# 轩
0x83DF	U+8F6B	# 轫
0x83E0	U+9489	# 钉
0x83E1	U+9488	# 针
0x83E2	U+948A	# 钊
0x83E3	U+948B	# 钋
0x83E4	U+95EA	# 闪
0x83E5	U+9635	# 阵
0x83E6	U+9655	# 陕
0x83E7	U+9649	# 陉
0x83E8	U+9965	# 饥
0x83E9	U+9A6C	# 马
0x83EA	U+9AA8	# 骨
0x83EB	U+4F2A	# 伪
0x83EC	U+4F1F	# 伟
0x83ED	U+4FA6	# 侦
0x83EE	U+4FA7	# 侧
0x83EF	U+52A1	# 务
0x83F0	U+52A8	# 动
0x83F1	U+533A	# 区
0x83F2	U+53C2	# 参
0x83F3	U+54D1	# 哑
0x83F4	U+95EE	# 问
0x83F5	U+8854	# 衔
0x83F6	U+56FD	# 国
0x83F7	U+575A	# 坚
0x83F8	U+57A9	# 垩
0x83F9	U+6267	# 执
0x83FA	U+591F	# 够
0x83FB	U+5A04	# 娄
0x83FC	U+5987	# 妇
0x83FD	U+4E13	# 专
0x83FE	U+5C06	# 将
0x8440	U+5C49	# 屉
0x8441	U+5CE5	# 峥
0x8442	U+5C97	# 岗
0x8443	U+5E26	# 带
0x8444	U+5E10	# 帐
0x8445	U+5F20	# 张
0x8446	U+5F3A	# 强
0x8447	U+4ECE	# 从
0x8448	U+5F95	# 徕
0x8449	U+51C4	# 凄
0x844A	U+6005	# 怅
0x844B	U+626B	# 扫
0x844C	U+6302	# 挂
0x844D	U+626A	# 扪
0x844E	U+62A1	# 抡
0x844F	U+6323	# 挣
0x8450	U+8D25	# 败
0x8451	U+542F	# 启
0x8452	U+659B	# 斛
0x8453	U+65A9	# 斩
0x8454	U+663C	# 昼
0x8455	U+52D6	# 勖
0x8456	U+5F03	# 弃
0x8457	U+6761	# 条
0x8458	U+67AD	# 枭
0x8459	U+6740	# 杀
0x845A	U+6C22	# 氢
0x845B	U+51C9	# 凉
0x845C	U+6D45	# 浅
0x845D	U+6E0A	# 渊
0x845E	U+6CEA	# 泪
0x845F	U+6CA6	# 沦
0x8460	U+51C0	# 净
0x8461	U+7275	# 牵
0x8462	U+72F0	# 狰
0x8463	U+73B0	# 现
0x8464	U+4EA7	# 产
0x8465	U+6BD5	# 毕
0x8466	U+5F02	# 异
0x8467	U+4F17	# 众
0x8468	U+7ECA	# 绊
0x8469	U+7EDF	# 统
0x846A	U+7ECD	# 绍
0x846B	U+7ECB	# 绋
0x846C	U+7ECC	# 绌
0x846D	U+7EC6	# 细
0x846E	U+7EC5	# 绅
0x846F	U+7EC4	# 组
0x8470	U+7EC8	# 终
0x8471	U+7EC1	# 绁
0x8472	U+7EC2	# 绂
0x8473	U+94B5	# 钵
0x8474	U+4E60	# 习
0x8475	U+835A	# 荚
0x8476	U+830E	# 茎
0x8477	U+8392	# 莒
0x8478	U+5E84	# 庄
0x8479	U+82CB	# 苋
0x847A	U+5904	# 处
0x847B	U+672F	# 术
0x847C	U+886E	# 衮
0x847D	U+89C5	# 觅
0x847E	U+89C4	# 规
0x84A1	U+8BBF	# 访
0x84A2	U+8BB6	# 讶
0x84A3	U+8BC0	# 诀
0x84A4	U+8BB7	# 讷
0x84A5	U+8BB8	# 许
0x84A6	U+8BBE	# 设
0x84A7	U+8BBC	# 讼
0x84A8	U+8BB9	# 讹
0x84A9	U+8D29	# 贩
0x84AA	U+8D23	# 责
0x84AB	U+8D2F	# 贯
0x84AC	U+8D27	# 货
0x84AD	U+8D2A	# 贪
0x84AE	U+8D2B	# 贫
0x84AF	U+8F6D	# 轭
0x84B0	U+8F6F	# 软
0x84B1	U+8FD9	# 这
0x84B2	U+8FDE	# 连
0x84B3	U+8FF3	# 迳
0x84B4	U+9497	# 钗
0x84B5	U+9493	# 钓
0x84B6	U+948F	# 钏
0x84B7	U+9492	# 钒
0x84B8	U+95ED	# 闭
0x84B9	U+9648	# 陈
0x84BA	U+9646	# 陆
0x84BB	U+9634	# 阴
0x84BC	U+9876	# 顶
0x84BD	U+9877	# 顷
0x84BE	U+9C7C	# 鱼
0x84BF	U+9E1F	# 鸟
0x84C0	U+5364	# 卤
0x84C1	U+9EA6	# 麦
