0x6F4A2B	U+ADEC	# HANGUL SYLLABLE GYUM
0x6F4A2C	U+ADF8	# HANGUL SYLLABLE GEU
0x6F4A2D	U+ADF9	# HANGUL SYLLABLE GEUG
0x6F4A2E	U+ADFC	# HANGUL SYLLABLE GEUN
0x6F4A2F	U+ADFF	# HANGUL SYLLABLE GEUD
0x6F4A30	U+AE00	# HANGUL SYLLABLE GEUL
0x6F4A31	U+AE01	# HANGUL SYLLABLE GEULG
0x6F4A32	U+AE08	# HANGUL SYLLABLE GEUM
0x6F4A33	U+AE09	# HANGUL SYLLABLE GEUB
0x6F4A34	U+AE0B	# HANGUL SYLLABLE GEUS
0x6F4A35	U+AE0D	# HANGUL SYLLABLE GEUNG
0x6F4A36	U+AE30	# HANGUL SYLLABLE GI
0x6F4A37	U+AE31	# HANGUL SYLLABLE GIG
0x6F4A38	U+AE34	# HANGUL SYLLABLE GIN
0x6F4A39	U+AE37	# HANGUL SYLLABLE GID
0x6F4A3A	U+AE38	# HANGUL SYLLABLE GIL
0x6F4A3B	U+AE40	# HANGUL SYLLABLE GIM
0x6F4A3C	U+AE41	# HANGUL SYLLABLE GIB
0x6F4A3D	U+AE43	# HANGUL SYLLABLE GIS
0x6F4A3E	U+AE44	# HANGUL SYLLABLE GISS
0x6F4A3F	U+AE45	# HANGUL SYLLABLE GING
0x6F4A40	U+AE4A	# HANGUL SYLLABLE GIP
0x6F4A43	U+AE4C	# HANGUL SYLLABLE GGA
0x6F4A44	U+AE4D	# HANGUL SYLLABLE GGAG
0x6F4A45	U+AE4E	# HANGUL SYLLABLE GGAGG
0x6F4A46	U+AE50	# HANGUL SYLLABLE GGAN
0x6F4A47	U+AE54	# HANGUL SYLLABLE GGAL
0x6F4A48	U+AE5C	# HANGUL SYLLABLE GGAM
0x6F4A49	U+AE5D	# HANGUL SYLLABLE GGAB
0x6F4A4A	U+AE60	# HANGUL SYLLABLE GGASS
0x6F4A4B	U+AE61	# HANGUL SYLLABLE GGANG
0x6F4A4C	U+AE62	# HANGUL SYLLABLE GGAJ
0x6F4A4D	U+AE65	# HANGUL SYLLABLE GGAT
0x6F4A4E	U+AE68	# HANGUL SYLLABLE GGAE
0x6F4A4F	U+AE69	# HANGUL SYLLABLE GGAEG
0x6F4A50	U+AE6C	# HANGUL SYLLABLE GGAEN
0x6F4A51	U+AE70	# HANGUL SYLLABLE GGAEL
0x6F4A52	U+AE78	# HANGUL SYLLABLE GGAEM
0x6F4A53	U+AE79	# HANGUL SYLLABLE GGAEB
0x6F4A54	U+AE7B	# HANGUL SYLLABLE GGAES
