# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0xBB	U+ff7b	# 11/11, HALFWIDTH KATAKANA LETTER SA
0xBC	U+ff7c	# 11/12, HALFWIDTH KATAKANA LETTER SI
0xBD	U+ff7d	# 11/13, HALFWIDTH KATAKANA LETTER SU
0xBE	U+ff7e	# 11/14, HALFWIDTH KATAKANA LETTER SE
0xBF	U+ff7f	# 11/15, HALFWIDTH KATAKANA LETTER SO
0xC0	U+ff80	# 12/0, HALFWIDTH KATAKANA LETTER TA
0xC1	U+ff81	# 12/1, HALFWIDTH KATAKANA LETTER TI
0xC2	U+ff82	# 12/2, HALFWIDTH KATAKANA LETTER TU
0xC3	U+ff83	# 12/3, HALFWIDTH KATAKANA LETTER TE
0xC4	U+ff84	# 12/4, HALFWIDTH KATAKANA LETTER TO
0xC5	U+ff85	# 12/5, HALFWIDTH KATAKANA LETTER NA
0xC6	U+ff86	# 12/6, HALFWIDTH KATAKANA LETTER NI
0xC7	U+ff87	# 12/7, HALFWIDTH KATAKANA LETTER NU
0xC8	U+ff88	# 12/8, HALFWIDTH KATAKANA LETTER NE
0xC9	U+ff89	# 12/9, HALFWIDTH KATAKANA LETTER NO
0xCA	U+ff8a	# 12/10, HALFWIDTH KATAKANA LETTER HA
0xCB	U+ff8b	# 12/11, HALFWIDTH KATAKANA LETTER HI
0xCC	U+ff8c	# 12/12, HALFWIDTH KATAKANA LETTER HU
0xCD	U+ff8d	# 12/13, HALFWIDTH KATAKANA LETTER HE
0xCE	U+ff8e	# 12/14, HALFWIDTH KATAKANA LETTER HO
0xCF	U+ff8f	# 12/15, HALFWIDTH KATAKANA LETTER MA
0xD0	U+ff90	# 13/0, HALFWIDTH KATAKANA LETTER MI
0xD1	U+ff91	# 13/1, HALFWIDTH KATAKANA LETTER MU
0xD2	U+ff92	# 13/2, HALFWIDTH KATAKANA LETTER ME
0xD3	U+ff93	# 13/3, HALFWIDTH KATAKANA LETTER MO
0xD4	U+ff94	# 13/4, HALFWIDTH KATAKANA LETTER YA
0xD5	U+ff95	# 13/5, HALFWIDTH KATAKANA LETTER YU
0xD6	U+ff96	# 13/6, HALFWIDTH KATAKANA LETTER YO
0xD7	U+ff97	# 13/7, HALFWIDTH KATAKANA LETTER RA
0xD8	U+ff98	# 13/8, HALFWIDTH KATAKANA LETTER RI
0xD9	U+ff99	# 13/9, HALFWIDTH KATAKANA LETTER RU
0xDA	U+ff9a	# 13/10, HALFWIDTH KATAKANA LETTER RE
