0x2257	U+FF03	# FULLWIDTH NUMBER SIGN
0x2258	U+FF06	# FULLWIDTH AMPERSAND
0x2259	U+FF0A	# FULLWIDTH ASTERISK
0x225A	U+FF20	# FULLWIDTH COMMERCIAL AT
0x225B	U+00A7	# SECTION SIGN
0x225C	U+203B	# REFERENCE MARK
0x225D	U+2606	# WHITE STAR
0x225E	U+2605	# BLACK STAR
0x225F	U+25CB	# WHITE CIRCLE
0x2260	U+25CF	# BLACK CIRCLE
0x2261	U+25CE	# BULLSEYE
0x2262	U+25C7	# WHITE DIAMOND
0x2263	U+25C6	# BLACK DIAMOND
0x2264	U+25A1	# WHITE SQUARE
0x2265	U+25A0	# BLACK SQUARE
0x2266	U+25B3	# WHITE UP-POINTING TRIANGLE
0x2267	U+25B2	# BLACK UP-POINTING TRIANGLE
0x2268	U+25BD	# WHITE DOWN-POINTING TRIANGLE
0x2269	U+25BC	# BLACK DOWN-POINTING TRIANGLE
0x226A	U+25B7	# WHITE RIGHT-POINTING TRIANGLE
0x226B	U+25C1	# WHITE LEFT-POINTING TRIANGLE
0x226C	U+25B6	# BLACK RIGHT-POINTING TRIANGLE
0x226D	U+25C0	# BLACK LEFT-POINTING TRIANGLE
0x226E	U+2218	# RING OPERATOR
0x226F	U+2219	# BULLET OPERATOR
0x2270	U+2756	# BLACK DIAMOND MINUS WHITE X
0x2271	U+25B4+20E4	# BLACK UP-POINTING SMALL TRIANGLE + COMBINING ENCLOSING UPWARD POINTING TRIANGLE
0x2272	U+F10E	# <F10E>
0x2273	U+F10F	# <F10F>
0x2274	U+F110	# <F110>
0x2275	U+2690	# WHITE FLAG
0x2276	U+2691	# BLACK FLAG
0x2277	U+266F	# MUSIC SHARP SIGN
0x2278	U+266D	# MUSIC FLAT SIGN
0x2279	U+266A	# EIGHTH NOTE
0x227A	U+2020	# DAGGER
0x227B	U+2021	# DOUBLE DAGGER
0x227C	U+00B6	# PILCROW SIGN
0x227D	U+2295	# CIRCLED PLUS
0x227E	U+2296	# CIRCLED MINUS
0x2330	U+FF10	# FULLWIDTH DIGIT ZERO
0x2331	U+FF11	# FULLWIDTH DIGIT ONE
0x2332	U+FF12	# FULLWIDTH DIGIT TWO
0x2333	U+FF13	# FULLWIDTH DIGIT THREE
