0xED9F	U+26cc	# 90-1, CROSSING LANES
0xEED1	U+3017	# 92-51, RIGHT WHITE LENTICULAR BRACKET
0xEED2	U+27d0	# 92-52, WHITE DIAMOND WITH CENTRED DOT
0xEED3	U+00b2	# 92-53, SUPERSCRIPT TWO
0xEED4	U+00b3	# 92-54, SUPERSCRIPT THREE
0xEED5	U+1f12d	# 92-55, CIRCLED CD
0xEED6	U+f862+0028+0076+006e+0029	# 92-56, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER V+LATIN SMALL LETTER N+RIGHT PARENTHESIS
0xEED7	U+f862+0028+006f+0062+0029	# 92-57, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER O+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEED8	U+f862+0028+0063+0062+0029	# 92-58, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER C+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEED9	U+f861+0028+0063+0065	# 92-59, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER C+LATIN SMALL LETTER E
0xEEDA	U+f861+006d+0062+0029	# 92-60, <f861>+LATIN SMALL LETTER M+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEEDB	U+f862+0028+0068+0070+0029	# 92-61, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER H+LATIN SMALL LETTER P+RIGHT PARENTHESIS
0xEEDC	U+f862+0028+0062+0072+0029	# 92-62, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER B+LATIN SMALL LETTER R+RIGHT PARENTHESIS
0xEEDD	U+f861+0028+0070+0029	# 92-63, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER P+RIGHT PARENTHESIS
0xEEDE	U+f861+0028+0073+0029	# 92-64, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER S+RIGHT PARENTHESIS
0xEEDF	U+f862+0028+006d+0073+0029	# 92-65, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER M+LATIN SMALL LETTER S+RIGHT PARENTHESIS
0xEEE0	U+f861+0028+0074+0029	# 92-66, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER T+RIGHT PARENTHESIS
0xEEE1	U+f862+0028+0062+0073+0029	# 92-67, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER B+LATIN SMALL LETTER S+RIGHT PARENTHESIS
0xEEE2	U+f861+0028+0062+0029	# 92-68, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEEE3	U+f862+0028+0074+0062+0029	# 92-69, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER T+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEEE4	U+f862+0028+0074+0070+0029	# 92-70, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER T+LATIN SMALL LETTER P+RIGHT PARENTHESIS
0xEEE5	U+f862+0028+0064+0073+0029	# 92-71, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER D+LATIN SMALL LETTER S+RIGHT PARENTHESIS
0xEEE6	U+f862+0028+0061+0067+0029	# 92-72, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER A+LATIN SMALL LETTER G+RIGHT PARENTHESIS
0xEEE7	U+f862+0028+0065+0067+0029	# 92-73, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER E+LATIN SMALL LETTER G+RIGHT PARENTHESIS
0xEEE8	U+f862+0028+0076+006f+0029	# 92-74, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER V+LATIN SMALL LETTER O+RIGHT PARENTHESIS
0xEEE9	U+f862+0028+0066+006c+0029	# 92-75, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER F+LATIN SMALL LETTER L+RIGHT PARENTHESIS
0xEEEA	U+f861+0028+006b+0065	# 92-76, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER K+LATIN SMALL LETTER E
0xEEEB	U+f860+0079+0029	# 92-77, <f860>+LATIN SMALL LETTER Y+RIGHT PARENTHESIS
0xEEEC	U+f861+0028+0073+0061	# 92-78, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER S+LATIN SMALL LETTER A
0xEEED	U+f860+0078+0029	# 92-79, <f860>+LATIN SMALL LETTER X+RIGHT PARENTHESIS
0xEEEE	U+f861+0028+0073+0079	# 92-80, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER S+LATIN SMALL LETTER Y
0xEEEF	U+f860+006e+0029	# 92-81, <f860>+LATIN SMALL LETTER N+RIGHT PARENTHESIS
0xEEF0	U+f861+0028+006f+0072	# 92-82, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER O+LATIN SMALL LETTER R
0xEEF1	U+f860+0067+0029	# 92-83, <f860>+LATIN SMALL LETTER G+RIGHT PARENTHESIS
0xEEF2	U+f861+0028+0070+0065	# 92-84, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER P+LATIN SMALL LETTER E
0xEEF3	U+f860+0072+0029	# 92-85, <f860>+LATIN SMALL LETTER R+RIGHT PARENTHESIS
0xEEF4	U+1f12c	# 92-86, CIRCLED ITALIC LATIN CAPITAL LETTER R
0xEEF5	U+1f12b	# 92-87, CIRCLED ITALIC LATIN CAPITAL LETTER C
0xEEF6	U+3247	# 92-88, CIRCLED IDEOGRAPH KOTO
0xEEF7	U+1f190	# 92-89, SQUARE DJ
0xEEF8	U+1f226	# 92-90, SQUARED CJK UNIFIED IDEOGRAPH-6F14
0xEEF9	U+213b	# 92-91, FACSIMILE SIGN
0xEF40	U+322a	# 93-1, PARENTHESIZED IDEOGRAPH MOON
0xEF41	U+322b	# 93-2, PARENTHESIZED IDEOGRAPH FIRE
