# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x2F57	U+309FD
0x2F58	U+30A03
0x2F59	U+30A09
0x2F5A	U+7984
0x2F5C	U+30A0A
0x2F5D	U+30A0B
0x2F5E	U+798F
0x2F5F	U+30A0E
0x2F60	U+79A7
0x2F61	U+30A14
0x2F62	U+30A17
0x2F64	U+842C
0x2F66	U+30A1D
0x2F67	U+30A24
0x2F68	U+30B70
0x2F69	U+30A22
0x2F6A	U+79F0
0x2F6B	U+30A1F
0x2F6C	U+683D
0x2F6D	U+79E6
0x2F6E	U+30A28
0x2F6F	U+7A05
0x2F70	U+7A00
0x2F71	U+30A2E
0x2F74	U+30A34
0x2F75	U+30A32
0x2F76	U+2E0FB
0x2F77	U+30A49
0x2F78	U+30A46
0x2F79	U+2E0FB
0x2F7A	U+30A4A
0x2F7C	U+30A4B
0x2F7D	U+2E106
0x2F7E	U+30A50
0x3022	U+30A56
0x3023	U+30A59
0x3024	U+30A5B
0x3025	U+2E11A
0x3026	U+30A5C
0x3027	U+30A5D
0x3028	U+30A61
0x3029	U+30A65
0x302A	U+30A68
0x302B	U+30A66
0x302C	U+30A6B
0x302D	U+7AF9
0x302F	U+25B12
0x3030	U+30A77
0x3031	U+30A7E
0x3032	U+7B92
0x3033	U+30A91
0x3034	U+30AA8
0x3035	U+30AA7
0x3036	U+6C23
0x3037	U+30AAE
0x3038	U+6C23
0x3039	U+6C23
0x303A	U+30AC1
0x303B	U+30AF9
0x303C	U+30B49
0x303D	U+30B4C
0x303F	U+30B4D
0x3040	U+30B50
0x3041	U+263E7
0x3042	U+30B60
0x3043	U+30B67
0x3044	U+30B68
0x3045	U+30B78
0x3046	U+756B
0x3047	U+756B
0x3048	U+30B7D
0x3049	U+756B
0x304A	U+30B7F
0x304B	U+305C4
0x304C	U+30B92
0x304D	U+30BA7
0x304E	U+30BB1
0x304F	U+30BF3
0x3050	U+2690D
0x3052	U+30BF9
0x3053	U+26980
0x3054	U+30C0E
0x3055	U+30C13
