# Rows 37 through 54 (obsolete syllable blocks unavailable in Johab) of KS X 1002 (KS C 5657)
# This is not an official table nor is it deployed in any other piece of software, which isn't
#   saying much, since (in stark contrast to its Japanese counterpart JIS X 0212) KS X 1002 is
#   basically vapourware, of mainly academic or hobbyist interest.

0x4941	U+1120+1169
0x4942	U+1120+1169+11A8
0x4943	U+1120+1169+11B7
0x4944	U+1120+116C
0x4945	U+1120+116C+11BA
0x4946	U+1120+116E
0x4947	U+1120+116E+11A8
0x4948	U+1120+116E+11AF
0x4949	U+1120+116E+11B2
0x494A	U+1120+116E+11BA
0x494B	U+1120+116E+11BC
0x494C	U+1120+1171
0x494D	U+1120+1171+11AF
0x494E	U+1120+1172
0x494F	U+1120+1173
0x4950	U+1120+1173+11A8
0x4951	U+1120+1173+11AB
0x4952	U+1120+1173+11AE
0x4953	U+1120+1173+11AF
0x4954	U+1120+1173+11B3
0x4955	U+1120+1173+11B6
0x4956	U+1120+1173+11B7
0x4957	U+1120+1173+11BA
0x4958	U+1120+1173+11BD
0x4959	U+1120+1174
0x495A	U+1120+1175
0x495B	U+1120+1175+11A8
0x495C	U+1120+1175+11AB
0x495D	U+1120+1175+11AF
0x495E	U+1120+1175+11B7
0x495F	U+1120+1175+11BA
0x4960	U+1123+119E
0x4961	U+1123+11A1
0x4962	U+1123+1161
0x4963	U+1123+1161+11B8
0x4964	U+1123+1162
0x4965	U+1123+1165
0x4966	U+1123+1165+11B2
0x4967	U+1123+1165+11BA
0x4968	U+1123+1169
0x4969	U+1123+116C
0x496A	U+1123+116E
0x496B	U+1123+1172
0x496C	U+1123+1172+11B7
0x496D	U+1123+1173
0x496E	U+1123+1174
0x496F	U+1123+1175
0x4970	U+1123+1175+11AF
0x4971	U+112F+119E
0x4972	U+112F+119E+11A8
0x4973	U+112F+119E+11AB
0x4974	U+112F+119E+11AF
0x4975	U+112F+119E+11B7
0x4976	U+112F+119E+11BA
0x4977	U+112F+119E+11BC
0x4978	U+112F+11A1
0x4979	U+112F+11A1+11A8
0x497A	U+112F+11A1+11AB
0x497B	U+112F+11A1+11AF
0x497C	U+112F+11A1+11BC
0x497D	U+112F+1161
0x497E	U+112F+1161+11A8
0x4A21	U+112F+1161+11AB
0x4A22	U+112F+1161+11AF
0x4A23	U+112F+1161+11B6
0x4A24	U+112F+1161+11B7
0x4A25	U+112F+1161+11B8
0x4A26	U+112F+1161+11BA
0x4A27	U+112F+1161+11BC
0x4A28	U+112F+1161+11C2
0x4A29	U+112F+1162
0x4A2A	U+112F+1162+11A8
0x4A2B	U+112F+1162+11AB
0x4A2C	U+112F+1162+11AF
0x4A2D	U+112F+1162+11BA
0x4A2E	U+112F+1162+11BC
0x4A2F	U+112F+1163
0x4A30	U+112F+1163+11A8
0x4A31	U+112F+1163+11BC
0x4A32	U+112F+1165
0x4A33	U+112F+1165+11A8
0x4A34	U+112F+1165+11AB
0x4A35	U+112F+1165+11AE
0x4A36	U+112F+1165+11AF
0x4A37	U+112F+1165+11B2
0x4A38	U+112F+1165+11BA
0x4A39	U+112F+1165+11BC
0x4A3A	U+112F+1166
0x4A3B	U+112F+1166+11AB
0x4A3C	U+112F+1167
0x4A3D	U+112F+1168
0x4A3E	U+112F+1169
0x4A3F	U+112F+1169+11A8
0x4A40	U+112F+1169+11AB
0x4A41	U+112F+1169+11AF
0x4A42	U+112F+1169+11B8
0x4A43	U+112F+1169+11BA
0x4A44	U+112F+1169+11BC
0x4A45	U+112F+1169+11F1
0x4A46	U+112F+116C
0x4A47	U+112F+116D
0x4A48	U+112F+116E
0x4A49	U+112F+116E+11A8
0x4A4A	U+112F+116E+11AB
0x4A4B	U+112F+116E+11AF
0x4A4C	U+112F+116E+11B2
0x4A4D	U+112F+116E+11B7
0x4A4E	U+112F+116E+11BA
0x4A4F	U+112F+116E+11BC
0x4A50	U+112F+1171
0x4A51	U+112F+1171+11AF
0x4A52	U+112F+1171+11BA
0x4A53	U+112F+1172
0x4A54	U+112F+1172+11B7
0x4A55	U+112F+1172+11BC
0x4A56	U+112F+1173
0x4A57	U+112F+1173+11A8
0x4A58	U+112F+1173+11AB
0x4A59	U+112F+1173+11AE
0x4A5A	U+112F+1173+11AF
0x4A5B	U+112F+1173+11B2
0x4A5C	U+112F+1173+11B7
0x4A5D	U+112F+1173+11B8
0x4A5E	U+112F+1173+11BA
0x4A5F	U+112F+1173+11BC
0x4A60	U+112F+1173+11BD
0x4A61	U+112F+1174
0x4A62	U+112F+1174+11AB
0x4A63	U+112F+1174+11BA
0x4A64	U+112F+1174+11EB
0x4A65	U+112F+1175
0x4A66	U+112F+1175+11A8
0x4A67	U+112F+1175+11AB
0x4A68	U+112F+1175+11AE
0x4A69	U+112F+1175+11AF
0x4A6A	U+112F+1175+11BA
0x4A6B	U+112F+1175+11C2
0x4A6C	U+1105+119E
0x4A6D	U+1105+119E+11A8
0x4A6E	U+1105+119E+11AB
0x4A6F	U+1105+119E+11AE
0x4A70	U+1105+119E+11AF
0x4A71	U+1105+119E+11CE
0x4A72	U+1105+119E+11B3
0x4A73	U+1105+119E+11D7
0x4A74	U+1105+119E+11D9
0x4A75	U+1105+119E+11B7
0x4A76	U+1105+119E+11DB
0x4A77	U+1105+119E+11DD
0x4A78	U+1105+119E+11B8
0x4A79	U+1105+119E+11E6
0x4A7A	U+1105+119E+11BA
0x4A7B	U+1105+119E+11EB
0x4A7C	U+1105+119E+11BC
0x4A7D	U+1105+119E+11BD
0x4A7E	U+1105+119E+11BE
0x4B21	U+1105+119E+11BF
0x4B22	U+1105+119E+11C0
0x4B23	U+1105+11A1
0x4B24	U+1105+11A1+11A8
0x4B25	U+1105+11A1+11AB
0x4B26	U+1105+11A1+11AF
0x4B27	U+1105+11A1+11B7
0x4B28	U+1105+11A1+11BA
0x4B29	U+1105+11A1+11BC
0x4B2A	U+B77C+11D9
0x4B2B	U+B77C+11DD
0x4B2C	U+B77C+11E6
0x4B2D	U+B77C+11E7
0x4B2E	U+B77C+11EB
0x4B2F	U+B7EC+11E6
0x4B30	U+B824+11C7
0x4B31	U+B824+11D9
0x4B32	U+B824+11E6
0x4B33	U+B85C+11D9
0x4B34	U+B85C+11DD
0x4B35	U+B85C+11E6
0x4B36	U+B85C+11F1
0x4B37	U+B8CC+11DD
0x4B38	U+1105+D7B2
0x4B39	U+1105+D7B4
0x4B3A	U+B8E8+11DD
0x4B3B	U+B958+11D9
0x4B3C	U+1105+118F
0x4B3D	U+B974+11D9
0x4B3E	U+B974+11DD
0x4B3F	U+B9AC+11DD
0x4B40	U+B9AC+11E6
0x4B41	U+1106+119E
0x4B42	U+1106+119E+11A8
0x4B43	U+1106+119E+11C3
0x4B44	U+1106+119E+11AB
0x4B45	U+1106+119E+11AE
0x4B46	U+1106+119E+11AF
0x4B47	U+1106+119E+11B0
0x4B48	U+1106+119E+11B2
0x4B49	U+1106+119E+11B3
0x4B4A	U+1106+119E+11B7
0x4B4B	U+1106+119E+11B8
0x4B4C	U+1106+119E+11BA
0x4B4D	U+1106+119E+11EB
0x4B4E	U+1106+119E+11BC
0x4B4F	U+1106+119E+11BD
0x4B50	U+1106+119E+11BE
0x4B51	U+1106+119E+11C0
0x4B52	U+1106+11A1
0x4B53	U+1106+11A1+11A8
0x4B54	U+1106+11A1+11AB
0x4B55	U+1106+11A1+11AF
0x4B56	U+1106+11A1+11B3
0x4B57	U+1106+11A1+11B7
0x4B58	U+1106+11A1+11B8
0x4B59	U+1106+11A1+11E6
0x4B5A	U+1106+11A1+11BA
0x4B5B	U+1106+11A1+11BC
0x4B5C	U+1106+11A1+11BD
0x4B5D	U+1106+11A1+11BE
0x4B5E	U+B9C8+11C7
0x4B5F	U+B9C8+11D9
0x4B60	U+B9C8+11E8
0x4B61	U+B9C8+11EB
0x4B62	U+BA70+11D9
0x4B63	U+BAA8+11D9
0x4B64	U+BAA8+11DD
0x4B65	U+BAA8+11EB
0x4B66	U+1106+1188
0x4B67	U+BB34+11C7
0x4B68	U+BB34+11D9
0x4B69	U+BB34+11E7
0x4B6A	U+BB34+11EB
0x4B6B	U+BBC0+11D9
0x4B6C	U+BBC0+11E7
0x4B6D	U+BBC0+11EB
0x4B6E	U+BBDC+11E6
0x4B6F	U+BBF8+11D9
0x4B70	U+BBF8+11E6
0x4B71	U+BBF8+11EB
0x4B72	U+1131+119E+11AF
0x4B73	U+1107+119E
0x4B74	U+1107+119E+11A8
0x4B75	U+1107+119E+11C3
0x4B76	U+1107+119E+11AB
0x4B77	U+1107+119E+11AE
0x4B78	U+1107+119E+11AF
0x4B79	U+1107+119E+11B0
0x4B7A	U+1107+119E+11B2
0x4B7B	U+1107+119E+11D5
0x4B7C	U+1107+119E+11B3
0x4B7D	U+1107+119E+11B7
0x4B7E	U+1107+119E+11B8
0x4C21	U+1107+119E+11E3
0x4C22	U+1107+119E+11BA
0x4C23	U+1107+119E+11EB
0x4C24	U+1107+119E+11BC
0x4C25	U+1107+119E+11BD
0x4C26	U+1107+119E+11BE
0x4C27	U+1107+119E+11C0
0x4C28	U+1107+11A1
0x4C29	U+1107+11A1+11A8
0x4C2A	U+1107+11A1+11AB
0x4C2B	U+1107+11A1+11AE
0x4C2C	U+1107+11A1+11AF
0x4C2D	U+1107+11A1+11B7
0x4C2E	U+1107+11A1+11B8
0x4C2F	U+1107+11A1+11BA
0x4C30	U+1107+11A1+11BC
0x4C31	U+1107+11A1+11F1
0x4C32	U+1107+11A1+11BD
0x4C33	U+1107+11A1+11BE
0x4C34	U+1107+11A1+11C0
0x4C35	U+1107+11A1+11C2
0x4C36	U+BC14+11D9
0x4C37	U+BC14+11DD
0x4C38	U+BC14+11E3
0x4C39	U+BC14+11E7
0x4C3A	U+BC14+11EB
0x4C3B	U+BC14+11F1
0x4C3C	U+BC84+11C7
0x4C3D	U+BC84+11D9
0x4C3E	U+BC84+11EB
0x4C3F	U+BCBC+11D9
0x4C40	U+BCBC+11F1
0x4C41	U+BCF4+11D9
0x4C42	U+BCF4+11DD
0x4C43	U+BCF4+11E7
0x4C44	U+BCF4+11EB
0x4C45	U+BD80+11C7
0x4C46	U+BD80+11D1
0x4C47	U+BD80+11D9
0x4C48	U+BD80+11E7
0x4C49	U+BE0C+11C3
0x4C4A	U+BE0C+11D9
0x4C4B	U+BE0C+11E7
0x4C4C	U+BE0C+11EB
0x4C4D	U+BE44+11D9
