# Unicode mappings for the extensions on top of Big5-HKSCS as implemented by the Sakura font.

0x846A U+5E96
0x846F U+68BC
0x8470 U+7977
0x8471 U+6D9C
0x8472 U+8FE9
0x8473 U+7962
0x8474 U+56A2
0x8475 U+877F
0x8476 U+5265
0x8477 U+7984
0x8478 U+6E8C
0x8479 U+9197
0x847A U+7B86
0x847B U+982C
0x847D U+4FAD
0x847E U+85AE
0x84A1 U+7BED
0x84A2 U+874B
0x84A3 U+5036
0x84A4 U+690D
0x84A5 U+6B96
0x84A6 U+614E
0x84A7 U+5177
0x84A8 U+771F
0x84A9 U+5024
0x84AA U+7F6E
0x84AB U+76F4
0x84AC U+69D9
0x84AF U+545F
0x84B0 U+9784
0x84B1 U+564C
0x84B2 U+50C5
0x84B3 U+5618
0x84B4 U+865E
0x84D0 U+24EA
0x84D1 U+F861+0028+0030+0029
0x84D2 U+2660
0x84D3 U+2664
0x84D4 U+2665
0x84D5 U+2661
0x84D6 U+2666
0x84D7 U+2662
0x84D8 U+2663
0x84D9 U+2667
0x84DA U+1F342
0x84DB U+1F650
0x84DC U+273F
0x84DD U+2740
0x84DE U+1F66A
0x84DF U+2741
0x84E0 U+260E
0x84E1 U+1F338
0x84E2 U+2669
0x84E3 U+266C
0x84E4 U+266A
0x84E5 U+F112
0x84E6 U+273F+20D8
0x84E7 U+2740+20D8
0x84E8 U+1F5E1
0x84E9 U+262F
0x84EA U+F860+6555+4EE4
0x84EB U+F867+6555+4EE4
0x84EC U+2721
0x84ED U+2721+20DD
0x84EE U+26E4
0x84EF U+26E4+20DD
0x8540 U+5185
0x8541 U+784F
0x8542 U+5BFE
0x8543 U+8EC6
0x8544 U+8EC5
0x8545 U+5154
0x8546 U+5450
0x8547 U+6C6D
0x8548 U+6798
0x8549 U+7D0D
0x854A U+8872
0x854B U+9209
0x854C U+34F0
0x854D U+9B26
0x854E U+28D9C
0x854F U+28DD6
0x8550 U+5168
0x8551 U+7A19
0x8552 U+73F1
0x8553 U+67FB
0x8554 U+21C6E
0x8555 U+580A
0x8556 U+4FA0
0x8557 U+2592E
0x8558 U+8CAE
0x8559 U+63B4
0x855A U+63BB
0x855B U+5C61
0x855C U+7E4D
0x855D U+586B
0x855E U+9065
0x855F U+7476
0x8560 U+9BF5
0x8561 U+783A
0x8562 U+6D9B
0x8563 U+6867
0x8564 U+6357
0x8565 U+96B7
0x8566 U+9D4E
0x8567 U+42DD
0x8568 U+6505
0x8569 U+945A
0x856A U+7E89
0x856B U+6A2A
0x856C U+FA11
0x856D U+6BBA
0x856E U+29516
0x856F U+4EE4
0x8570 U+3106C
0x8571 U+6CA1
0x8572 U+6238
0x8573 U+9EBB
0x8574 U+5192
0x8575 U+9854
0x8576 U+865C
0x8577 U+20F96
0x8578 U+685B
0x8579 U+5B36
0x857A U+7E5D
0x857B U+8EAE
0x857C U+933A
0x857D U+9453
0x857E U+9B5E
0x85A1 U+9BCE
0x85A2 U+9BD0
0x85A3 U+29E3D
0x85A4 U+9D8D
0x8640 U+7232
0x8641 U+8070
0x8642 U+7E3D
0x8643 U+5468
0x8644 U+9031
0x8645 U+5F6B
0x8646 U+51CB
0x8647 U+7431
0x8648 U+7889
0x8649 U+8ABF
0x864A U+8CD9
0x864B U+96D5
0x864C U+9D70
0x864D U+7A97
0x864E U+8525
0x864F U+654E
0x8650 U+8B80
0x8651 U+8D16
0x8652 U+7E8C
0x8653 U+6ADD
0x8654 U+7006
0x8655 U+27DA0
0x8656 U+6F59
0x8657 U+5645
0x8658 U+853F
0x8659 U+8457
0x865A U+696E
0x865B U+5A8E
0x865C U+7779
0x865D U+7F72
0x865E U+85AF
0x865F U+6691
0x8660 U+66D9
0x8661 U+8CED
0x8662 U+6E1A
0x8663 U+555F
0x8664 U+80E1
0x8665 U+5078
0x8666 U+6109
0x8667 U+63C4
0x8668 U+6B48
0x8669 U+724F
0x866A U+8E30
0x866B U+903E
0x866C U+9683
0x866D U+6108
0x866E U+7609
0x866F U+8AED
0x8670 U+9BDB
0x8671 U+26936
0x8672 U+7DFB
0x8673 U+8753
0x8674 U+5154
0x8675 U+514D
0x8676 U+9038
0x8677 U+83DF
0x8678 U+4FDB
0x8679 U+8F13
0x867A U+7D55
0x867B U+9EBB
0x867C U+8F38
0x867D U+8AF8
0x867E U+5492
0x86A1 U+6F5B
0x86A2 U+5861
0x86A3 U+613C
0x86A4 U+6EC7
0x86A5 U+778B
0x86A6 U+55D4
0x86A7 U+69C7
0x86A8 U+9EF0
0x86A9 U+57F4
0x86AA U+985A
0x86AB U+7672
0x86AC U+5DD3
0x86AD U+34BE
0x86AE U+82DD
0x86AF U+321CA
0x86B0 U+20F7E
0x86B1 U+2B4A2
0x86B2 U+9393
0x86B3 U+4C33
0x86B4 U+9B98
0x86B5 U+9BA3
0x86B6 U+9B8A
0x86B7 U+9B8C
0x86B8 U+9C0F
0x86B9 U+9B84
0x86BA U+2B66E
0x86BB U+9BBB
0x86BC U+9BEE
0x86BD U+9C27
0x86BE U+9B9F
0x86BF U+4C81
0x86C0 U+29F14
0x86C1 U+865C
0x86C2 U+64C4
0x86C3 U+60C6
0x86C4 U+671B
0x86C5 U+537B
0x86C6 U+8173
0x86C7 U+543F
0x86C8 U+6D69
0x86C9 U+9020
0x86CA U+7693
0x86CB U+7A96
0x86CC U+8AA5
0x86CD U+9177
0x86CE U+9760
0x86CF U+688F
0x86D0 U+727F
0x86D1 U+6F94
0x86D2 U+60C5
0x86D3 U+6DF8
0x86D4 U+731C
0x86D5 U+775B
0x86D6 U+9756
0x86D7 U+7CBE
0x86D8 U+873B
0x86D9 U+8ACB
0x86DA U+8B34
0x86DB U+20D1D
0x86DC U+7652
